項目,値,単位,備考
建物名,サンプル事務所ビル,,
用途,事務所,,
階数,3,階,地上階のみ
延床面積,450,㎡,
構造,RC造,,
所在地,東京都,,省エネ地域区分6地域

外壁面積,380,㎡,
窓面積,95,㎡,
屋根面積,150,㎡,
UA値,0.75,W/㎡K,外皮平均熱貫流率
ηAC値,2.8,-,冷房期平均日射熱取得率

空調方式,ビル用マルチエアコン,,
空調効率_暖房,4.2,COP,
空調効率_冷房,3.5,COP,
設計一次エネルギー消費量_空調,85,MJ/㎡年,

照明器具,LED照明,,
照明効率,110,lm/W,
照明密度,8,W/㎡,
設計一次エネルギー消費量_照明,45,MJ/㎡年,

給湯方式,電気温水器,,
給湯効率,0.95,-,
設計一次エネルギー消費量_給湯,15,MJ/㎡年,

換気方式,第一種機械換気,,
換気効率,0.75,-,
設計一次エネルギー消費量_換気,18,MJ/㎡年,

昇降機有無,有,,エレベーター1基
設計一次エネルギー消費量_昇降機,8,MJ/㎡年,

設計一次エネルギー消費量_合計,171,MJ/㎡年,
基準一次エネルギー消費量,190,MJ/㎡年,省エネ基準
BEI,0.90,-,設計値÷基準値
適合判定,適合,,BEI≦1.0
